servlets.FullTextSearch.doGet [594120637,257645038]
19-Mar-2017 21:21:53.329 INFO [http-nio-8080-exec-4] servlets.FullTextSearch.doGet [1580470,1009109]
19-Mar-2017 21:21:53.376 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [2563332,1897461]
19-Mar-2017 21:21:53.427 INFO [http-nio-8080-exec-1] servlets.FullTextSearch.doGet [1468045,918725]
19-Mar-2017 21:21:53.471 INFO [http-nio-8080-exec-8] servlets.FullTextSearch.doGet [2526325,1812587]
19-Mar-2017 21:21:53.515 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [1539617,957385]
19-Mar-2017 21:21:53.557 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [1556663,908545]
19-Mar-2017 21:21:53.601 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [1517476,906951]
19-Mar-2017 21:21:53.646 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [2562585,1799193]
19-Mar-2017 21:21:53.691 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [2623771,1886918]
19-Mar-2017 21:21:53.740 INFO [http-nio-8080-exec-16] servlets.FullTextSearch.doGet [2992582,2268727]
19-Mar-2017 21:21:53.784 INFO [http-nio-8080-exec-4] servlets.FullTextSearch.doGet [1623561,1039751]
19-Mar-2017 21:21:53.828 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [4145555,3272086]
19-Mar-2017 21:21:53.873 INFO [http-nio-8080-exec-1] servlets.FullTextSearch.doGet [2658170,1938845]
19-Mar-2017 21:21:53.919 INFO [http-nio-8080-exec-8] servlets.FullTextSearch.doGet [2566361,1858027]
19-Mar-2017 21:21:53.964 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [2478015,1852172]
19-Mar-2017 21:21:54.009 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [3004467,2358844]
19-Mar-2017 21:21:54.054 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [2460192,1819468]
19-Mar-2017 21:21:54.144 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [3723239,2936042]
19-Mar-2017 21:21:54.191 INFO [http-nio-8080-exec-16] servlets.FullTextSearch.doGet [3229558,2511246]
19-Mar-2017 21:21:54.236 INFO [http-nio-8080-exec-4] servlets.FullTextSearch.doGet [2743845,2047438]
19-Mar-2017 21:21:54.285 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [3186554,2502664]
19-Mar-2017 21:21:54.333 INFO [http-nio-8080-exec-1] servlets.FullTextSearch.doGet [2617400,1879035]
19-Mar-2017 21:21:54.386 INFO [http-nio-8080-exec-18] servlets.FullTextSearch.doGet [3647416,2291775]
19-Mar-2017 21:21:54.441 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [1488421,947219]
19-Mar-2017 21:21:54.485 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [2336333,1701224]
19-Mar-2017 21:21:54.534 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [2263219,1626336]
19-Mar-2017 21:21:54.584 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [2542322,1729880]
19-Mar-2017 21:21:54.630 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [2424178,1713593]
19-Mar-2017 21:21:54.675 INFO [http-nio-8080-exec-16] servlets.FullTextSearch.doGet [2438216,1749514]
19-Mar-2017 21:21:54.720 INFO [http-nio-8080-exec-4] servlets.FullTextSearch.doGet [2598107,1916764]
19-Mar-2017 21:21:54.766 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [2493465,1914171]
19-Mar-2017 21:21:54.817 INFO [http-nio-8080-exec-1] servlets.FullTextSearch.doGet [2444840,1822861]
19-Mar-2017 21:21:54.861 INFO [http-nio-8080-exec-18] servlets.FullTextSearch.doGet [3952173,3251332]
19-Mar-2017 21:21:54.909 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [1588010,1032820]
19-Mar-2017 21:21:54.954 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [3162715,2464999]
19-Mar-2017 21:21:55.000 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [1577677,954782]
19-Mar-2017 21:21:55.049 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [1427906,866579]
19-Mar-2017 21:21:55.102 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [1485774,942459]
19-Mar-2017 21:21:55.147 INFO [http-nio-8080-exec-16] servlets.FullTextSearch.doGet [1448773,827635]
19-Mar-2017 21:21:55.192 INFO [http-nio-8080-exec-4] servlets.FullTextSearch.doGet [2388844,1678735]
19-Mar-2017 21:21:55.240 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [1409580,939984]
19-Mar-2017 21:21:55.288 INFO [http-nio-8080-exec-1] servlets.FullTextSearch.doGet [4740683,4120544]
19-Mar-2017 21:21:55.333 INFO [http-nio-8080-exec-18] servlets.FullTextSearch.doGet [1441576,915507]
19-Mar-2017 21:21:55.380 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [3109937,2390665]
19-Mar-2017 21:21:55.425 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [1445450,934634]
19-Mar-2017 21:21:55.468 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [1559313,999106]
19-Mar-2017 21:21:55.514 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [2698884,1760098]
19-Mar-2017 21:21:55.566 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [2382638,1713180]
19-Mar-2017 21:21:55.609 INFO [http-nio-8080-exec-16] servlets.FullTextSearch.doGet [1436142,888184]
19-Mar-2017 21:21:55.657 INFO [http-nio-8080-exec-19] servlets.FullTextSearch.doGet [2574124,1993659]
19-Mar-2017 21:21:55.703 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [3459968,2774749]
19-Mar-2017 21:21:55.749 INFO [http-nio-8080-exec-1] servlets.FullTextSearch.doGet [3231233,2616319]
19-Mar-2017 21:21:55.797 INFO [http-nio-8080-exec-18] servlets.FullTextSearch.doGet [2374030,1769817]
19-Mar-2017 21:21:55.842 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [2426143,1602376]
19-Mar-2017 21:21:55.888 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [2339905,1773556]
19-Mar-2017 21:21:55.935 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [2442995,1782913]
19-Mar-2017 21:21:55.980 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [2235145,1685472]
19-Mar-2017 21:21:56.025 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [2202383,1620616]
19-Mar-2017 21:21:56.069 INFO [http-nio-8080-exec-16] servlets.FullTextSearch.doGet [1430216,876798]
19-Mar-2017 21:21:56.158 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [2303542,1717223]
19-Mar-2017 21:21:56.205 INFO [http-nio-8080-exec-1] servlets.FullTextSearch.doGet [2930831,2350397]
19-Mar-2017 21:21:56.250 INFO [http-nio-8080-exec-18] servlets.FullTextSearch.doGet [3004863,2357045]
19-Mar-2017 21:21:56.296 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [2348023,1742287]
19-Mar-2017 21:21:56.340 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [1371057,857886]
19-Mar-2017 21:21:56.388 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [5403361,4557738]
19-Mar-2017 21:21:56.435 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [3258351,2730866]
19-Mar-2017 21:21:56.481 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [3371161,2726830]
19-Mar-2017 21:21:56.527 INFO [http-nio-8080-exec-16] servlets.FullTextSearch.doGet [2373936,1784242]
19-Mar-2017 21:21:56.574 INFO [http-nio-8080-exec-19] servlets.FullTextSearch.doGet [1395183,877305]
19-Mar-2017 21:21:56.620 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [2677170,2028600]
19-Mar-2017 21:21:56.664 INFO [http-nio-8080-exec-20] servlets.FullTextSearch.doGet [2825505,2110924]
19-Mar-2017 21:21:56.706 INFO [http-nio-8080-exec-18] servlets.FullTextSearch.doGet [1536116,1091556]
19-Mar-2017 21:21:56.748 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [1500685,1067642]
19-Mar-2017 21:21:56.792 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [2404627,1841046]
19-Mar-2017 21:21:56.836 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [1211014,778775]
19-Mar-2017 21:21:56.880 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [1348896,894347]
19-Mar-2017 21:21:56.924 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [2628671,2069127]
19-Mar-2017 21:21:56.972 INFO [http-nio-8080-exec-16] servlets.FullTextSearch.doGet [5352916,4762660]
19-Mar-2017 21:21:57.016 INFO [http-nio-8080-exec-19] servlets.FullTextSearch.doGet [1420055,956513]
19-Mar-2017 21:21:57.059 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [1250641,806132]
19-Mar-2017 21:21:57.101 INFO [http-nio-8080-exec-20] servlets.FullTextSearch.doGet [1331047,895717]
19-Mar-2017 21:21:57.147 INFO [http-nio-8080-exec-18] servlets.FullTextSearch.doGet [2130869,1576029]
19-Mar-2017 21:21:57.192 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [2514068,1955338]
19-Mar-2017 21:21:57.236 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [2214108,1710931]
19-Mar-2017 21:21:57.281 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [2175883,1647170]
19-Mar-2017 21:21:57.326 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [2809127,2214138]
19-Mar-2017 21:21:57.371 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [2093638,1571650]
19-Mar-2017 21:21:57.417 INFO [http-nio-8080-exec-16] servlets.FullTextSearch.doGet [3890743,3347163]
19-Mar-2017 21:21:57.463 INFO [http-nio-8080-exec-19] servlets.FullTextSearch.doGet [3580119,2904656]
19-Mar-2017 21:21:57.508 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [2431542,1856222]
19-Mar-2017 21:21:57.551 INFO [http-nio-8080-exec-20] servlets.FullTextSearch.doGet [2835933,2386940]
19-Mar-2017 21:21:57.595 INFO [http-nio-8080-exec-18] servlets.FullTextSearch.doGet [2295426,1735643]
19-Mar-2017 21:21:57.641 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [2991944,2474226]
19-Mar-2017 21:21:57.685 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [1281677,868079]
19-Mar-2017 21:21:57.728 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [2027025,1543666]
19-Mar-2017 21:21:57.770 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [2070260,1569456]
19-Mar-2017 21:21:57.817 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [1245082,814901]
19-Mar-2017 21:21:57.862 INFO [http-nio-8080-exec-16] servlets.FullTextSearch.doGet [3097629,2578017]
19-Mar-2017 21:21:57.907 INFO [http-nio-8080-exec-19] servlets.FullTextSearch.doGet [2060057,1561894]
19-Mar-2017 21:21:57.951 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [3331057,2743754]
19-Mar-2017 21:21:57.997 INFO [http-nio-8080-exec-20] servlets.FullTextSearch.doGet [2110282,1626364]
19-Mar-2017 21:21:58.041 INFO [http-nio-8080-exec-18] servlets.FullTextSearch.doGet [1996881,1477101]
19-Mar-2017 21:21:58.085 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [2164014,1629484]
19-Mar-2017 21:21:58.174 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [2095379,1584267]
19-Mar-2017 21:21:58.218 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [1244161,812888]
19-Mar-2017 21:21:58.262 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [1266631,776521]
19-Mar-2017 21:21:58.309 INFO [http-nio-8080-exec-16] servlets.FullTextSearch.doGet [2233268,1660585]
19-Mar-2017 21:21:58.352 INFO [http-nio-8080-exec-19] servlets.FullTextSearch.doGet [1223469,804953]
19-Mar-2017 21:21:58.397 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [2759394,1563921]
19-Mar-2017 21:21:58.442 INFO [http-nio-8080-exec-20] servlets.FullTextSearch.doGet [2037729,1570666]
19-Mar-2017 21:21:58.488 INFO [http-nio-8080-exec-18] servlets.FullTextSearch.doGet [2081844,1634016]
19-Mar-2017 21:21:58.539 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [5027113,1654335]
19-Mar-2017 21:21:58.585 INFO [http-nio-8080-exec-11] servlets.FullTextSearch.doGet [2090588,1582772]
19-Mar-2017 21:21:58.630 INFO [http-nio-8080-exec-12] servlets.FullTextSearch.doGet [3121710,2593671]
19-Mar-2017 21:21:58.680 INFO [http-nio-8080-exec-13] servlets.FullTextSearch.doGet [2614226,2109146]
19-Mar-2017 21:21:58.727 INFO [http-nio-8080-exec-15] servlets.FullTextSearch.doGet [3262975,898271]
19-Mar-2017 21:21:58.770 INFO [http-nio-8080-exec-16] servlets.FullTextSearch.doGet [1191866,771525]
19-Mar-2017 21:21:58.817 INFO [http-nio-8080-exec-19] servlets.FullTextSearch.doGet [1960879,1513155]
19-Mar-2017 21:21:58.862 INFO [http-nio-8080-exec-17] servlets.FullTextSearch.doGet [1316723,916244]
19-Mar-2017 21:21:58.907 INFO [http-nio-8080-exec-20] servlets.FullTextSearch.doGet [1536029,1116961]
19-Mar-2017 21:21:58.953 INFO [http-nio-8080-exec-18] servlets.FullTextSearch.doGet [3127932,2651401]
19-Mar-2017 21:21:58.997 INFO [http-nio-8080-exec-14] servlets.FullTextSearch.doGet [1248177,854531]
